row_id,claim_id,support_status,table,evidence_type,paper,citation,page_number,text,paper_title,year,journal,doi,source
E49,C49,SUPPORTED,populations,dataset_population,P1,P1 p1,1,"Accepted: 22 September 2020 Published: 11 November 2020 Multi-drug-resistance is a particularly dramatic problem in systemic infections (Palacios-Baena et al., 2017), and infections involving critical districts [e.g., eye and orbit, Citation: where timely administration of an effective therapy is fundamental for sparing organ specific Florio W, Baldeschi L, Rizzato C, functions or patient survival (Tsirouki et al., 2018; Choi et al., 2019)]",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E50,C50,SUPPORTED,populations,dataset_population,P1,P1 p2,2,"pneumoniae strains, an 11,109-Da peak was detected in the and appearance of peaks representing its hydrolysis products spectra of 30 out of 34 KPC producers, and it was absent in (Burckhardt and Zimmermann, 2011; Hrabak et al., 2011; all non-KPC-producing isolates (Gaibani et al., 2016)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E51,C51,SUPPORTED,populations,dataset_population,P1,P1 p2,2,"Of interest, on clustering analysis of the spectral profiles of individual the logRQ values of spectra calculated by the software correlated isolates (Wang et al., 2013)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E52,C52,SUPPORTED,populations,dataset_population,P1,P1 p2,2,"by establishing a method, which relies on the production of a phenol-soluble protein toxin (PSM-mec) by a subset of To reduce time for detection of carbapenem-resistance MRSA strains (Chatterjee et al., 2011), which is detectable in Gram-negative bacteria causing bloodstream infections, a by MALDI-TOF MS as a 2415 � 2.00 m/z peak and may be MALDI-TOF MS-based assay was established by measuring present in up to half of MRSA isolates (Rhoads et al., 2016; the hydrolysis of imipenem in blood cul...",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E53,C53,SUPPORTED,populations,dataset_population,P1,P1 p3,3,"pneumoniae showed a modification of lipid A resistance in a number of randomly selected clinical isolates of by AraN ( m/z 131) attached on the terminal phosphate group Mycobacterium tuberculosis and non-tuberculous mycobacteria of hexa-acetylated lipid A (1,824 m/z), resulting in a modified (NTM)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E54,C54,SUPPORTED,populations,dataset_population,P1,P1 p4,4,"classification of isolates with MIC values close to the breakpoint concentrations, and for some antibiotics",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E55,C55,SUPPORTED,populations,dataset_population,P1,P1 p4,4,"coli as well as against cefotaxime, piperacillin-tazobactam, and isolates from positive BCs",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E56,C56,SUPPORTED,populations,dataset_population,P1,P1 p4,4,An aliquot of the selected BCs ciprofloxacin in monomicrobial BCs from patients with sepsis was subcultured for 1 h in antibiotic-free liquid medium before from Gram-negative bacteria,Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E57,C57,SUPPORTED,populations,dataset_population,P2,P2 p2,2,"required, and sample preparation for analysis is, in most cases, Holland et al",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E58,C58,SUPPORTED,populations,dataset_population,P2,P2 p3,3,"validation criteria, has been often proposed for microorganisms recovered from positive BCs (Idelevich et al., 2014; Barnini et al., Matrix-assisted laser desorption/ionization MS has also 2015), due to the high background in these samples",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
